name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
자양동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,16:30,,18:00,평일 10:00~20:00/토 10:00~16:30/공휴일 10:00~18:00
헬프유기동물의료센터,11:00,11:00,11:00,11:00,11:00,11:00,11:00,11:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 11:00~20:00
심바동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00
창문동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,9:30,19:00,19:00,19:00,19:00,19:00,17:00,,17:00,"평일 09:30~19:00/토,공휴일 09:30~17:00"
안단테 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,20:00,20:00,20:00,20:00,20:00,17:00,17:00,,평일 10:00~20:00/주말 10:00~17:00
쥬라기동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00
펫토이동물병원,10:00,10:00,10:00,10:00,10:00,,,,20:00,20:00,20:00,20:00,20:00,,,,평일 10:00~20:00
스머프동물병원,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
별난동물병원,10:00,10:00,10:00,10:00,10:00,,,,21:00,21:00,21:00,21:00,21:00,,,,평일 10:00~21:00
24시지구촌동물메디컬센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
굿모닝 동물병원,10:00,10:00,10:00,10:00,10:00,,,,22:00,22:00,22:00,22:00,22:00,,,,평일 10:00~22:00
하나카동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,19:00,,19:00,"평일 10:00~20:00/토,공휴일 10:00~19:00"
24시 청담우리동물병원,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
웰리스동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00
아이원동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,21:00,21:00,21:00,21:00,21:00,21:00,19:00,,"평일,토요일 10:00~21:00 / 일요일 10:00~19:00"
웰니스동물병원 롯데월드점,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,19:00,19:00,19:00,19:00,19:00,17:00,17:00,,평일 10:00~19:00 / 주말 10:00~17:00
24시서울플러스종합동물병원,,,,,,,,,,,,,,,,,
헬릭스동물암센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,19:00,19:00,19:00,19:00,19:00,19:00,19:00,,"평일,주말 10:00~19:00"
유림동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,19:00,,19:00,"평일 10:00~20:00 / 토요일,공휴일 10:00~19:00"
쥬라기동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,9:30,20:00,20:00,20:00,20:00,20:00,18:00,,18:00,"평일 09:30~20:00/토,공휴일 09:30~18:00"
헬릭스동물메디컬센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
당고개동물병원,,,,,,,,,,,,,,,,,
김정복동물병원,,,,,,,,,,,,,,,,,
고득영동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 09:00~21:00
캣앤캣 고양이 병원,10:00,10:00,10:00,,10:00,10:00,,,20:00,20:00,20:00,,20:00,18:30,,,"월,화,수,금 10:00~20:00/토 10:00~18:30"
우리아이동물메디컬센터,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,매일 09:00~22:00(진료 09:30~21:30)
시민동물병원,,,,,,,,,,,,,,,,,
나리울동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,14:30,,,평일 10:00~19:00/토 10:00~14:30
동물병원 베를린,,9:00,9:00,9:00,9:00,9:00,,,,18:30,18:30,18:30,18:30,18:30,,,"화,수,목,금,토요일 09:00~18:30"
광화문동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,20:30,20:30,20:30,20:30,20:30,19:00,,,평일 09:00~20:30/토 09:00~19:00
이로동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 10:00~21:00 (일반진료) / 매일 21:00~10:00 (응급진료)
뉴타운동물병원,9:30,9:30,9:30,9:30,9:30,,,,20:00,20:00,20:00,20:00,20:00,,,,평일 09:30~20:00
허브동물병원,10:00,10:00,10:00,10:00,10:00,10:00,11:00,10:00,20:30,20:30,20:30,20:30,20:30,20:30,17:00,20:30,매일 10:00~20:30 / 일 11:00~17:00 (예약진료)
옥수수동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,19:00,,,월~토 10:00~19:00
제인동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,19:00,19:00,19:00,19:00,19:00,18:00,,,평일 09:30~19:00 / 토요일 09:30~18:00
25시동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,주간진료 매일 10:00~21:00 / 야간진료 21:00~10:00
사랑동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,17:00,,,평일 10:00~20:00 / 토 10:00~17:00
강북24시N동물의료센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
세계로동물병원의료센터,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,19:30,19:30,19:30,19:30,19:30,18:00,19:30,18:00,"매일 09:30~19:30 / 토,공휴일 09:30~18:00"
차지우동물병원,,,10:30,10:30,10:30,10:30,,,,,17:00,17:00,17:00,16:00,,,"수,목,금요일 10:30~17:00 / 토요일 10:30~16:00"
와이즈24시 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:30,19:30,19:30,19:30,19:30,16:00,,,평일 10:00~19:30 / 토요일 10:00~16:00 / 일요일 휴진
역삼동물병원,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,"평일,주말,공휴일 10:30~24:00"
24시잠실ON동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00 (일반진료) / 매일 20:00~10:00 (응급진료)
온마음동물메디컬센터,9:00,9:00,9:00,9:00,9:00,9:00,10:00,9:00,21:00,21:00,21:00,21:00,21:00,21:00,20:00,21:00,"평일,토,공휴일 09:00~21:00 / 일요일 10:00~20:00"
땅콩동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00
치료멍멍동물병원 신사본원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,일반진료 매일 10:00~19:00
길음동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,20:00,20:00,20:00,20:00,20:00,17:00,,,평일 09:00~20:00 / 토 09:00~17:00
함께하는동물병원,,,,,,,,,,,,,,,,,
흑석동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 09:30~21:00
프란다스동물병원 가좌점,9:30,9:30,9:30,9:30,9:30,,,,20:00,20:00,20:00,20:00,20:00,,,,평일 09:30~20:00
성신동물병원,10:00,10:00,10:00,10:00,10:00,10:00,14:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,18:00,20:00,매일 10:00~20:00 / 일요일 14:00~18:00
세인트동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,18:00,18:00,"평일,토요일 10:00~20:00 / 일,공휴일 10:00~18:00"
현대종합동물병원,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
24시샤인동물메디컬센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
애드펫동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,19:30,19:30,19:30,19:30,19:30,17:00,,,평일 09:00~19:30/토 09:00~17:00
송파스마일동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,21:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,매일 09:00~21:30 (24시간 입원관리)
굿파파 24시 반려동물건강검진센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00
