HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
656,평생피부과동물병원,570,570,570,570,570,570,0,570,1140,1140,1140,1140,1140,1080,0,1080,"평일 09:30~19:00 / 토,공휴일 09:30~18:00"
657,야옹동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00/토 10:00~17:00
658,드림동물병원,600,600,600,600,600,600,600,600,1140,1140,1140,1140,1140,1140,1140,1140,매일 10:00~19:00
659,중앙동물병원,570,570,570,570,570,0,0,0,1230,1230,1230,1230,1230,0,0,0,평일 09:30~20:30
660,아이힐동물병원,600,600,600,600,600,600,600,0,1260,1260,1260,1260,1260,1110,1110,0,평일 10:00~21:00/주말 10:00~18:30
661,지엔동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
662,두루동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
663,한나동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00 / 토요일 10:00~19:00
664,강서YD동물의료센터,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00
665,영등포아크로 동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1200,0,0,월~토 10:00~20:00
666,서서울호수동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1080,0,1080,"평일 10:00~20:00 / 토,공휴일 10:00~18:00"
667,한솔동물병원,590,590,590,590,590,590,590,0,1140,1140,1140,1140,1140,990,990,0,평일 09:50~19:00 / 주말 09:50~16:30
668,24시 루시드동물메디컬센터,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00
669,롯데동물병원,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1260,1260,1260,매일 10:00~21:00
670,우솔동물병원,600,600,600,780,600,600,0,600,1200,1200,1200,1200,1200,1110,0,1110,"월,화,수,금 10:00~20:00/목 13:00~20:00/토,공휴일 10:00~18:30"
671,민병철동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
672,서경석동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1140,0,1140,"평일 10:00~20:00/토,공휴일 10:00~19:00"
673,서이동물병원,540,540,540,540,540,540,0,540,1140,1140,1140,1140,1140,900,0,900,"평일 09:00~19:00 / 토,공휴일 09:00~15:00"
674,해맞이동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1080,0,1080,"평일 10:00~20:00 / 토,공휴일 10:00~18:00"
675,태양종합동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
676,그린동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
677,메이플동물의료센터,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00 / 토요일 10:00~19:00
678,다움동물병원,600,600,600,600,600,600,600,0,1260,1260,1260,1260,1260,1140,1140,0,평일 10:00~21:00/주말 10:00~19:00
679,강앤정동물병원,570,570,570,570,570,570,570,570,1350,1350,1350,1350,1350,1350,1110,1110,"평일,토요일 09:30~22:30 / 일,공휴일 09:30~18:30"
680,온 동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1140,0,1140,"평일 10:00~20:00/토,공휴일 10:00~19:00"
