HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours,,,is24
35,황동물병원,,,,,,,,,,,,,,,,,,,,0
36,스마트동물병원 강동암사점,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,19:00,19:00,19:00,"평일 10:00~21:00/주말,공휴일 10:00~19:00",,,0
37,희망동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,19:00,19:00,19:00,19:00,19:00,19:00,,,"평일,토요일 09:30~19:00",,,0
38,현대종합동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,21:00,21:00,21:00,21:00,21:00,19:00,,,평일 09:00~21:00 / 토요일 09:00~19:00,,,0
39,금천종합동물병원,10:00,10:00,10:00,10:00,10:00,0:00,,,19:30,19:30,19:30,19:30,19:30,24:00:00,,,"평일 10:00~19:30,토 00:00~24:00",,,0
40,용봉가축병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 09:00~20:00,,,0
41,리즈동물병원,10:00,10:00,10:00,10:00,10:00,,12:00,12:00,20:00,20:00,20:00,20:00,20:00,,18:00,18:00,"평일 10:00~20:00/일,공휴일 12:00~18:00(일요일 예약진료)",,,0
42,재활한방 나눔동물병원,10:00,10:00,,10:00,10:00,10:30,,,19:00,19:00,,19:00,19:00,17:30,,,"월,화,목,금 10:00~19:00/토 10:30~17:30",,,0
43,남산동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,19:00,19:00,19:00,19:00,19:00,19:00,,,평일 09:30~19:00/토 09:30~19:00,,,0
44,마더스동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,18:00,18:00,"월~토 10:00~20:00/일,공휴일 10:00~18:00",,,0
45,키움동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,18:00,"평일 10:00~20:00/토,공휴일 10:00~18:00",,,0
46,내품에동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,21:00,21:00,21:00,21:00,21:00,21:00,18:00,,"평일,토요일 10:00~21:00 / 일 10:00~18:00",,,0
47,다온동물병원,10:00,10:00,10:00,10:00,10:00,10:00,13:00,,20:00,20:00,20:00,20:00,20:00,19:00,17:00,,평일 10:00~20:00/토 10:00~19:00/일 13:00~17:00(예약진료),,,0
48,대치수동물병원,10:00,10:00,10:00,10:00,10:00,10:00,14:00,,20:00,20:00,20:00,20:00,20:00,20:00,18:00,,월~토 10:00~20:00/ 일 13:00~18:00(예약진료),,,0
49,24시 애니동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,일반진료 매일 09:00~21:00 / 야간진료 21:00~09:00,,,1
50,하나동물병원,,,,,,,,,,,,,,,,,,,,0
51,아띠동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,22:00,22:00,22:00,22:00,22:00,20:00,20:00,,평일 10:00~22:00 / 주말 10:00~20:00,,,0
52,24시 마곡M동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,매일 00:00~24:00 / 주간진료 10:00~21:30 / 야간진료 21:30~10:00,,,1
53,신내동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,17:00,,,평일 10:00~19:00/토 10:00~17:00,,,0
54,더샵동물메디컬센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
55,대치성심동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,19:00,,,월~토 10:00~19:00,,,0
56,도곡종합동물병원,10:30,10:30,10:30,10:30,10:30,10:30,11:00,,19:00,19:00,19:00,19:00,19:00,19:00,24:00:00,,"월~토 10:30~19:00/일 11:00~00:00(예약진료)/미용 10:00~17:00(목요일,일요일 휴무)",,,0
57,참사랑동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,19:00,,,평일 10:00~20:00/토 10:00~19:00,,,0
58,바우미우동물병원,9:00,9:00,9:00,9:00,9:00,9:00,10:00,10:00,21:00,21:00,21:00,21:00,20:00,18:00,18:00,18:00,"월~목 09:00~21:00/금 09:00~20:00/토 09:00~18:00/일,공휴일10:00~18:00",,,0
59,맑은동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,13:00,,,평일 10:00~19:00/토 10:00~13:00,,,0
60,헬릭스동물메디컬센터 송파점,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,매일 09:00~22:00 (야간응급실 24시간운영),,,1
61,닥터그레이동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일 10:00~20:00 (목요일은 예약진료만 가능) / 토요일,공휴일 10:00~17:00",,,0
62,엘동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,15:00,,,평일 10:00~19:00/토 10:00~15:00,,,0
63,좋아요 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,18:00,,,평일 10:00~19:00 /토 10:00~18:00,,,0
64,한수동물병원,10:00,10:00,10:00,10:00,10:00,,,10:00,20:00,19:00,19:00,19:00,20:00,,,19:00,"화,수,목,공휴일 10:00~19:00/월,금 10:00~20:00",,,0
65,공원옆동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:30,19:30,19:30,19:30,19:30,17:00,,,평일 10:00~19:30 / 토요일 10:00~17:00,,,0
66,홍익동물종합병원,9:30,9:30,9:30,9:30,9:30,9:30,,9:30,19:00,19:00,19:00,19:00,19:00,18:00,,18:00,"평일 09:30~19:00/토,공휴일 09:30~18:00",,,0
67,우리동물병원생명사회적협동조합,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,18:00,"평일 10:00~20:00 / 토,일부 공휴일 10:00~18:00",,,0
68,청화종합동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 09:00~19:00,,,0
69,방배한강동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,19:00,19:00,19:00,19:00,19:00,19:00,19:00,,월~일 10:00~19:00,,,0
70,마음을나누는동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00,,,0
71,홍제동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 09:00~20:00,,,0
72,퓨리나 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
73,노아동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 10:00~21:00,,,0
74,파란동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,19:00,,,평일 10:00~20:00 / 토요일 10:00~19:00,,,0
75,원러브동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 10:00~21:00,,,0
76,영국동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 09:00~20:00,,,0
77,자양동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,16:30,,18:00,평일 10:00~20:00/토 10:00~16:30/공휴일 10:00~18:00,,,0
78,헬프유기동물의료센터,11:00,11:00,11:00,11:00,11:00,11:00,11:00,11:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 11:00~20:00,,,0
